姓名,身份证号,血压,心率,体温
郑莹,230714194811144049,115/76,74,36.4
丁娟,653124198810121514,137/65,89,36.9
杨玉,410603198312232359,134/88,100,36.9
汪秀芳,230303196504058130,128/76,86,36.4
樊莹,210103200103260543,97/66,85,36.5
李兵,230704199509036274,115/79,91,36.5
刘倩,370000196105246703,137/83,82,37.3
刘晶,211011194010110666,127/85,60,36.2
张帆,14092819641013580X,109/70,83,36.5
曹兰英,610300196601037683,105/72,89,36.9
杜建国,440303194601076437,100/85,69,36.8
高瑜,230184193609302367,98/62,61,36.4
胡婷,41142120030816953X,123/85,87,37.5
刘小红,621221195809099992,120/89,74,36.6
姜玉梅,360601194503251047,136/72,87,37.1
卢玉梅,540222197704079973,97/85,97,37.0
汤成,620105196712161874,131/65,85,37.3
嵇晶,65232519990306496X,130/85,80,37.1
毛淑珍,43122919450801567X,90/87,76,36.3
郝云,130626193710057511,103/68,90,37.1
贾红,420325194504115435,91/64,78,37.2
刘璐,440402197605265203,112/76,65,36.7
梁琴,220781196501106837,131/75,81,37.4
姜娜,330881194805049538,97/84,97,37.1
刘云,451281194007012955,91/72,100,36.2
石雷,610902197902083552,110/67,100,36.7
马桂芝,211121197606215663,93/84,99,36.3
刘亮,500115196510284273,124/69,74,36.6
罗萍,520621196909086429,118/84,97,36.6
张文,630225193510152995,136/68,92,36.9
郑芳,43050319710711922X,119/88,78,36.0
李强,130636199908116038,96/72,100,37.1
王敏,411102194805278477,131/78,70,37.2
贾利,530721194911065115,91/83,95,36.6
江玉,150206194408168377,119/63,67,36.8
黄华,331101199208150236,103/75,79,37.0
阳玉珍,53080019411203245X,132/86,89,37.5
王浩,230500197501253068,104/70,66,36.5
夏亮,532601200001204883,94/90,75,36.6
李飞,431026196905156950,107/90,95,36.2
李秀芳,420201199501044324,104/69,84,36.6
乌淑兰,441624196312235700,138/69,72,36.6
吴玉英,341125200301314475,125/74,92,36.0
王林,421321196101142062,106/68,66,36.1
余超,131002193604029637,104/79,95,37.1
岳宇,360313198701203983,140/78,84,36.3
吴英,131122200508173587,110/87,62,36.1
徐文,410725199810241993,125/85,88,36.7
吴波,430204195707063187,134/72,97,36.3
宋宇,431003200506086363,126/60,91,37.2
李娜,511112196810071177,109/67,80,37.4
田健,640521196306120546,129/63,62,36.9
孙桂英,320412193902066582,118/85,81,37.5
芮帆,341126198211160034,123/81,100,36.4
曹金凤,421121199805048042,106/77,67,37.1
周桂芝,370983194412202760,102/71,63,36.3
游桂花,610422198712072329,115/62,97,37.0
刘燕,341621197903292637,104/86,62,37.2
单红梅,652922198102212909,96/71,75,37.0
乔宁,410102196807021112,103/88,94,36.1
李金凤,542625197806278781,116/78,61,36.1
陈玉珍,620301199007100944,132/85,65,37.1
张秀云,211081197102058597,134/64,94,37.2
吴瑜,530821196306053057,128/65,69,36.7
王坤,532528200408228101,131/64,75,36.6
丛鑫,320402195308171263,97/83,89,36.6
聂旭,331024193612279316,99/80,87,36.4
刘雪梅,500232194004036392,107/68,87,36.5
周娜,361125199310238396,108/67,75,37.1
赵飞,152224194908019495,101/84,74,36.7
陈磊,451224198803299142,104/69,83,36.0
张红梅,51182319870802184X,129/69,99,36.5
高晶,42028119750716897X,117/61,80,37.1
李鹏,371300198307144058,92/80,80,37.0
赖桂芝,130622193810252474,101/88,82,36.1
王淑珍,652800197302065730,126/83,66,37.4
吉利,640400197910104275,105/69,71,36.2
李玉英,120105198011136271,112/66,86,37.4
袁莹,640501199206233509,134/87,95,36.8
黄明,140602200204173628,111/88,94,36.6
文秀兰,210881197909088394,131/71,96,37.0
张英,500117198009227066,133/79,72,36.6
陶勇,520325200202284673,125/81,90,36.0
田娟,610101197802182756,129/77,79,36.3
邢红,421101196506148909,132/68,61,36.4
宋英,653000196605218223,106/68,67,37.4
王凯,530924200501270560,137/77,66,36.6
吕建,659002198310087550,100/78,97,37.5
潘秀梅,65232319971106943X,100/89,98,37.0
孙超,522632194107098497,135/70,77,37.5
刘兵,13090119810210358X,96/78,76,37.0
杨洋,130402195508056969,114/89,68,37.1
莫金凤,620523199705115288,124/69,97,36.2
李博,511600197403288375,140/79,91,36.3
吴丽丽,350100196401197776,137/80,72,37.4
唐帅,430527197908134412,107/77,67,36.3
王楠,522626194009176626,109/83,80,37.0
龙旭,430802194408169585,99/90,75,37.4
朱冬梅,131100193506172184,137/67,63,36.0
李帅,532801195812272756,103/84,98,36.8
